Timestamp_us	TTI	Slot	Frame	Numerology	Grant_Size	Bytes_Built	MCE_Type	BSR_LCG	LCG_0	LCG_1	LCG_2	LCG_3	LCG_4	LCG_5	LCG_6	LCG_7
75729648702237799	2130	0	213	0	32	19	61	0	0	-1	-1	-1	-1	-1	-1	-1
75729648702237799	2149	9	214	0	32	2	61	0	0	-1	-1	-1	-1	-1	-1	-1
75729648702237799	2556	6	255	0	32	5	57	0	0	-1	-1	-1	-1	-1	-1	-1
75729648702237799	3359	9	335	0	54	5	57	0	0	-1	-1	-1	-1	-1	-1	-1
75729648702237799	3676	6	367	0	54	5	57	0	0	-1	-1	-1	-1	-1	-1	-1
75729648702237799	3836	6	383	0	54	5	57	0	0	-1	-1	-1	-1	-1	-1	-1
75729648702237799	3850	0	385	0	101	88	61	0	0	-1	-1	-1	-1	-1	-1	-1
75729648702237799	3859	9	385	0	69	2	61	0	0	-1	-1	-1	-1	-1	-1	-1
75729648702237799	4316	6	431	0	54	5	57	0	0	-1	-1	-1	-1	-1	-1	-1
75729648702237799	4636	6	463	0	54	5	57	0	0	-1	-1	-1	-1	-1	-1	-1
75729648702237799	4956	6	495	0	54	5	57	0	0	-1	-1	-1	-1	-1	-1	-1
75729648702237799	5276	6	527	0	54	5	57	0	0	-1	-1	-1	-1	-1	-1	-1
75729648702237799	5436	6	543	0	54	5	57	0	0	-1	-1	-1	-1	-1	-1	-1
75729648702237799	5450	0	545	0	63	63	61	4	4	-1	-1	-1	-1	-1	-1	-1
75729648702237799	5456	6	545	0	92	34	61	0	0	-1	-1	-1	-1	-1	-1	-1
75729648737739386	5465	5	546	0	123	2	61	0	0	-1	-1	-1	-1	-1	-1	-1
75729648737739386	6072	2	607	0	69	69	57	4	9	-1	-1	-1	-1	-1	-1	-1
75729648737739386	6078	8	607	0	185	149	61	0	0	-1	-1	-1	-1	-1	-1	-1
75729648737739386	6090	0	609	0	88	88	61	4	5	-1	-1	-1	-1	-1	-1	-1
75729648737739386	6096	6	609	0	111	111	61	4	6	-1	-1	-1	-1	-1	-1	-1
75729648737739386	6102	2	610	0	111	111	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
75729648737739386	6108	8	610	0	129	129	61	4	20	-1	-1	-1	-1	-1	-1	-1
75729648737739386	6112	2	611	0	111	111	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
75729648737739386	6114	4	611	0	1345	1345	61	4	18	-1	-1	-1	-1	-1	-1	-1
75729648737739386	6115	5	611	0	1121	1121	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
75729648737739386	6116	6	611	0	1121	1121	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
75729648737739386	6117	7	611	0	1345	1345	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
75729648737739386	6118	8	611	0	437	437	62	16	78	-1	-1	-1	-1	-1	-1	-1
75729648737739386	6124	4	612	0	1345	1288	61	0	0	-1	-1	-1	-1	-1	-1	-1
75729648737739386	6126	6	612	0	153	3	62	0	-1	-1	-1	-1	-1	-1	-1	-1
75729648741202900	6142	2	614	0	101	101	61	4	21	-1	-1	-1	-1	-1	-1	-1
75729648741202900	6148	8	614	0	1537	1537	61	4	22	-1	-1	-1	-1	-1	-1	-1
75729648741202900	6149	9	614	0	784	784	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
75729648741202900	6150	0	615	0	784	784	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
75729648741202900	6151	1	615	0	784	784	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
75729648741202900	6152	2	615	0	784	784	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
75729648741202900	6153	3	615	0	944	944	61	4	19	-1	-1	-1	-1	-1	-1	-1
75729648741202900	6154	4	615	0	1008	1008	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
75729648741202900	6155	5	615	0	1345	1345	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
75729648741202900	6156	6	615	0	1537	1537	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
75729648741202900	6157	7	615	0	1345	1145	62	0	-1	-1	-1	-1	-1	-1	-1	-1
75729648741202900	6158	8	615	0	1345	3	62	0	-1	-1	-1	-1	-1	-1	-1	-1
75729648741202900	6166	6	616	0	111	2	61	0	0	-1	-1	-1	-1	-1	-1	-1
75729648741202900	6185	5	618	0	92	91	57	4	15	-1	-1	-1	-1	-1	-1	-1
75729648741202900	6191	1	619	0	1185	1168	61	0	0	-1	-1	-1	-1	-1	-1	-1
75729648746237738	6208	8	620	0	111	111	61	4	17	-1	-1	-1	-1	-1	-1	-1
75729648746237738	6214	4	621	0	1537	1537	61	4	7	-1	-1	-1	-1	-1	-1	-1
75729648746237738	6215	5	621	0	129	65	62	0	-1	-1	-1	-1	-1	-1	-1	-1
75729648746237738	6216	6	621	0	388	3	62	0	-1	-1	-1	-1	-1	-1	-1	-1
