SFN,BSR_index,requested_bytes,allocated_bytes_pusch,allocated_bytes_grant,overlap_bytes,ratio_pusch,ratio_grant,bs_load,smoothed_ratio_pusch,smoothed_ratio_grant,smoothed_bs_load
6784,24,376.0,417.0,448.0,0.0,1.1090425531914894,1.1914893617021276,0.05,1.1090425531914894,1.1914893617021276,0.05
6802,22,274.0,73.0,103.0,330.0,0.2664233576642336,0.3759124087591241,0.0021604938271604936,0.6034710358751358,0.7021431899363255,0.0212962962962963
6856,36,2490.0,995.0,1655.0,0.0,0.39959839357429716,0.6646586345381527,0.2125,0.39959839357429716,0.6646586345381527,0.2125
6864,35,1195.0,723.0,0.0,932.0,0.605020920502092,0.0,0.26999999999999996,0.5228519097309741,0.26586345381526105,0.247
6869,30,485.0,1090.0,1588.0,482.0,2.247422680412371,3.2742268041237113,0.15833333333333333,1.5493774710627004,2.097467809381857,0.19149999999999998
6883,25,440.0,631.0,182.0,788.0,1.434090909090909,0.41363636363636364,0.22666666666666666,1.4309432656374381,0.9030271790065605,0.22166666666666665
6888,22,274.0,130.0,150.0,562.0,0.4744525547445255,0.5474452554744526,0.00625,1.0209742507473714,1.0660397868366864,0.08075000000000002
6936,29,826.0,363.0,465.0,0.0,0.43946731234866826,0.562953995157385,0.13541666666666666,0.43946731234866826,0.562953995157385,0.13541666666666666
6944,29,532.0,171.0,0.0,294.0,0.32142857142857145,0.0,0.10666666666666667,0.3686440677966102,0.225181598062954,0.11816666666666667
6949,25,350.0,45.0,211.0,90.0,0.12857142857142856,0.6028571428571429,0.012820512820512822,0.22932203389830508,0.4743050847457627,0.056108974358974356
6962,25,404.0,242.0,388.0,36.0,0.599009900990099,0.9603960396039604,0.10666666666666667,0.4494059405940594,0.6968090523338047,0.0878974358974359
6967,25,207.0,301.0,61.0,233.0,1.4541062801932367,0.2946859903381642,0.17333333333333334,1.0179800340282477,0.4894622306951192,0.1278974358974359
6972,20,200.0,554.0,259.0,204.0,2.77,1.295,0.0064285714285714285,2.072623236236667,1.028016405988425,0.059857142857142866
7042,19,171.0,282.0,293.0,0.0,1.6491228070175439,1.713450292397661,0.04791666666666667,1.6491228070175439,1.713450292397661,0.04791666666666667
7058,21,234.0,189.0,177.0,211.0,0.8076923076923077,0.7564102564102564,0.000489349453080023,1.1442645074224023,1.139226270805218,0.019460276338514684
8216,18,146.0,149.0,180.0,0.0,1.0205479452054795,1.2328767123287672,0.05,1.0205479452054795,1.2328767123287672,0.05
8224,16,107.0,443.0,457.0,96.0,4.140186915887851,4.271028037383178,0.005805243445692884,2.8923313276149023,3.0557675073614137,0.023483146067415736
8402,30,967.0,903.0,1009.0,0.0,0.9338159255429163,1.0434332988624613,0.2708333333333333,0.9338159255429163,1.0434332988624613,0.2708333333333333
8410,29,826.0,576.0,64.0,816.0,0.6973365617433414,0.0774818401937046,0.00462962962962963,0.7919283072631713,0.4638624236612073,0.11111111111111112
8536,30,967.0,138.0,134.0,0.0,0.14270941054808686,0.13857290589451912,0.009615384615384614,0.14270941054808686,0.13857290589451912,0.009615384615384614
8562,30,900.0,178.0,597.0,67.0,0.19777777777777777,0.6633333333333333,0.15333333333333332,0.19777777777777777,0.6633333333333333,0.15333333333333332
8567,29,666.0,649.0,431.0,160.0,0.9744744744744744,0.6471471471471472,0.38,0.6637957957957957,0.6536216216216216,0.28933333333333333
8572,27,603.0,440.0,271.0,540.0,0.7296849087893864,0.4494195688225539,0.006962025316455696,0.6722613957240823,0.5317478373896284,0.1108438818565401
8730,25,440.0,202.0,0.0,0.0,0.4590909090909091,0.0,0.016666666666666666,0.4590909090909091,0.0,0.016666666666666666
8736,24,275.0,524.0,504.0,101.0,1.9054545454545455,1.8327272727272728,0.09666666666666666,1.3269090909090908,1.0996363636363635,0.06466666666666666
8746,20,200.0,182.0,198.0,282.0,0.91,0.99,0.006845238095238095,1.018909090909091,0.9605454545454546,0.026773809523809526
8802,14,78.0,194.0,198.0,0.0,2.4871794871794872,2.5384615384615383,0.009166666666666667,2.4871794871794872,2.5384615384615383,0.009166666666666667
8842,33,1552.0,435.0,720.0,0.0,0.2802835051546392,0.4639175257731959,0.11875,0.2802835051546392,0.4639175257731959,0.11875
8850,32,992.0,523.0,789.0,334.0,0.5272177419354839,0.7953629032258065,0.3,0.428444047223146,0.6627847522447623,0.22749999999999998
8855,30,545.0,707.0,55.0,422.0,1.2972477064220183,0.10091743119266056,0.31333333333333335,0.9398488732712356,0.31240654451539684,0.27175
8860,22,274.0,420.0,219.0,482.0,1.532846715328467,0.7992700729927007,0.01111111111111111,1.200341222998699,0.6609217584878422,0.10427777777777777
8899,13,67.0,93.0,0.0,0.0,1.3880597014925373,0.0,0.00625,1.3880597014925373,0.0,0.00625
8907,22,274.0,341.0,442.0,0.0,1.2445255474452555,1.6131386861313868,0.09222222222222222,1.3019392090641682,0.9678832116788321,0.057833333333333334
8922,25,208.0,306.0,273.0,232.0,1.4711538461538463,1.3125,0.10416666666666667,1.3805025266704098,1.4327554744525548,0.09938888888888889
8930,34,1612.0,1105.0,1559.0,205.0,0.6854838709677419,0.96712158808933,0.2708333333333333,0.9997518610421836,1.105272952853598,0.20416666666666666
8938,33,516.0,861.0,15.0,1036.0,1.6686046511627908,0.029069767441860465,0.3466666666666667,1.432490334121992,0.47336617808298226,0.28300000000000003
8943,23,321.0,1389.0,671.0,700.0,4.327102803738318,2.0903426791277258,0.044047619047619044,3.0670793866690973,1.4534438785828736,0.1499285714285714
8971,19,144.0,207.0,162.0,27.0,1.4375,1.125,0.07083333333333333,1.4375,1.125,0.07083333333333333
8979,21,80.0,162.0,164.0,154.0,2.025,2.05,0.058333333333333334,1.79,1.6799999999999997,0.06333333333333332
