RAN_Event_Unix_Timestamp	Current_SFN_SF	LCG_0	LCG_1	LCG_2	LCG_3	Num_RBs	TBS_Index	MCS_Index	Redund_Ver	PUSCH_TB_Size
1756841835.331449	5856	-	-	-	-	3	13	8	-	-
1756841835.331449	7116	-	-	-	-	8	6	3	-	-
1756841835.331449	7124	-	-	-	-	6	12	7	-	-
1756841835.331449	7132	-	-	-	-	16	8	4	-	-
1756841835.331449	7134	-	-	-	-	27	4	2	-	-
1756841835.331449	7135	-	-	-	-	18	6	3	-	-
1756841835.331449	7136	-	-	-	-	25	4	2	-	-
1756841835.331449	7137	-	-	-	-	27	4	2	-	-
1756841835.331449	7138	-	-	-	-	8	8	4	-	-
1756841835.331449	7139	-	-	-	-	25	4	2	-	-
1756841835.331449	7141	-	-	-	-	12	8	4	-	-
1756841835.331449	7145	-	-	-	-	6	8	4	-	-
1756841835.331449	7148	-	-	-	-	5	4	2	-	-
1756841835.331449	7149	-	-	-	-	5	6	3	-	-
1756841835.331449	7150	-	-	-	-	15	4	2	-	-
1756841835.331449	7151	-	-	-	-	8	4	2	-	-
1756841835.331449	7152	-	-	-	-	15	4	2	-	-
1756841835.331449	7154	-	-	-	-	9	8	4	-	-
1756841835.340245	7120	0	0	0	18	-	-	-	-	-
1756841835.340245	7128	0	0	0	37	-	-	-	-	-
1756841835.340245	7136	0	0	0	41	-	-	-	-	-
1756841835.340245	7141	0	0	0	40	-	-	-	-	-
1756841835.340245	7149	0	0	0	39	-	-	-	-	-
1756841835.340245	7154	0	0	0	39	-	-	-	-	-
1756841835.340245	7159	0	0	0	38	-	-	-	-	-
1756841835.340245	7164	0	0	0	37	-	-	-	-	-
1756841835.356442	7155	-	-	-	-	18	2	1	-	-
1756841835.356442	7156	-	-	-	-	10	4	2	-	-
1756841835.356442	7157	-	-	-	-	8	4	2	-	-
1756841835.356442	7158	-	-	-	-	15	2	1	-	-
1756841835.356442	7159	-	-	-	-	10	4	2	-	-
1756841835.356442	7160	-	-	-	-	6	8	4	-	-
1756841835.356442	7161	-	-	-	-	8	4	2	-	-
1756841835.356442	7162	-	-	-	-	9	4	2	-	-
1756841835.356442	7164	-	-	-	-	18	2	1	-	-
1756841835.356442	7168	-	-	-	-	12	2	1	-	-
1756841835.356442	7169	-	-	-	-	5	6	3	-	-
1756841835.356442	7170	-	-	-	-	8	8	4	-	-
1756841835.356442	7171	-	-	-	-	9	6	3	-	-
1756841835.356442	7172	-	-	-	-	18	2	1	-	-
1756841835.356442	7174	-	-	-	-	10	2	1	-	-
1756841835.356442	7175	-	-	-	-	4	6	3	-	-
1756841835.356442	7176	-	-	-	-	10	0	0	-	-
1756841835.356442	7177	-	-	-	-	10	4	2	-	-
1756841835.356442	7178	-	-	-	-	4	8	4	-	-
1756841835.356442	7179	-	-	-	-	16	4	2	-	-
1756841835.379256	7172	0	0	0	36	-	-	-	-	-
1756841835.379256	7178	0	0	0	35	-	-	-	-	-
1756841835.379256	7183	0	0	0	33	-	-	-	-	-
1756841835.379256	7189	0	0	0	31	-	-	-	-	-
1756841835.379256	7195	0	0	0	27	-	-	-	-	-
1756841835.379256	7200	0	0	0	24	-	-	-	-	-
1756841835.379256	7205	0	0	0	23	-	-	-	-	-
1756841835.391459	7180	-	-	-	-	8	8	4	-	-
1756841835.391459	7181	-	-	-	-	10	4	2	-	-
1756841835.391459	7182	-	-	-	-	15	4	2	-	-
1756841835.391459	7183	-	-	-	-	3	10	5	-	-
1756841835.391459	7185	-	-	-	-	6	8	4	-	-
1756841835.391459	7186	-	-	-	-	8	8	4	-	-
1756841835.391459	7189	-	-	-	-	24	4	2	-	-
1756841835.391459	7191	-	-	-	-	6	8	4	-	-
1756841835.391459	7192	-	-	-	-	9	6	3	-	-
1756841835.391459	7195	-	-	-	-	8	4	2	-	-
1756841835.391459	7196	-	-	-	-	5	4	2	-	-
1756841835.391459	7198	-	-	-	-	6	4	2	-	-
1756841835.391459	7201	-	-	-	-	2	2	1	-	-
1756841835.391459	7207	-	-	-	-	5	4	2	-	-
1756841835.391459	7209	-	-	-	-	10	2	1	-	-
1756841835.391459	7210	-	-	-	-	12	2	1	-	-
1756841835.391459	7211	-	-	-	-	10	2	1	-	-
1756841835.391459	7212	-	-	-	-	6	4	2	-	-
1756841835.391459	7213	-	-	-	-	10	2	1	-	-
