TTI	LCG_0	LCG_1	LCG_2	LCG_3	Num_RBs	TBS_Index	MCS_Index	Redund_Ver	PUSCH_TB_Size
4261	-	-	-	-	-	-	-	0	9
4277	-	-	-	-	1	19	20	-	-
4278	-	-	-	-	1	19	20	-	-
4279	-	-	-	-	1	19	20	-	-
4280	-	-	-	-	1	19	20	-	-
4281	0	0	0	0	1	19	20	0	51
4282	0	0	0	0	1	19	20	0	51
4283	0	0	0	0	1	19	20	0	51
4284	0	0	0	0	1	19	20	0	51
4285	0	0	0	0	-	-	-	0	51
4286	0	0	0	0	-	-	-	0	51
4287	0	0	0	0	5	18	19	0	51
4288	0	0	0	0	1	19	20	0	51
4291	0	0	0	0	1	15	16	1	249
4292	0	0	0	0	-	-	-	0	51
4293	-	-	-	-	1	17	18	-	-
4294	-	-	-	-	1	17	18	-	-
4295	0	0	0	0	1	17	18	0	35
4296	-	-	-	-	1	19	20	-	-
4297	0	0	0	0	1	19	20	0	42
4298	0	0	0	0	1	19	20	0	42
4299	0	0	0	0	-	-	-	0	42
4300	0	0	0	0	-	-	-	0	51
4301	0	0	0	0	1	19	20	0	51
4302	0	0	0	0	-	-	-	0	51
4305	0	0	0	0	-	-	-	0	51
4306	-	-	-	-	1	19	30	-	-
4307	-	-	-	-	1	19	20	-	-
4308	-	-	-	-	1	19	20	-	-
4310	-	-	-	-	-	-	-	0	51
4311	0	0	0	0	-	-	-	0	51
4312	0	0	0	0	-	-	-	0	51
4326	-	-	-	-	1	17	18	-	-
4327	-	-	-	-	1	17	18	-	-
4328	-	-	-	-	3	0	0	-	-
4329	-	-	-	-	3	0	0	-	-
4330	0	0	0	0	3	0	0	0	42
4331	0	0	0	0	3	0	0	0	42
4332	0	0	0	0	15	0	0	0	7
4333	0	0	0	0	15	0	0	0	7
4334	0	0	0	0	15	0	0	0	7
4335	0	0	0	0	15	0	0	0	7
4336	0	0	0	0	15	0	0	0	49
4337	0	0	0	0	15	0	0	0	49
4338	0	0	0	0	15	0	0	0	49
4339	0	0	0	0	15	0	0	0	49
4340	0	0	0	0	15	0	0	0	49
4341	0	0	0	0	15	0	0	0	49
4342	0	0	0	0	15	0	0	0	49
4343	0	0	0	0	15	0	0	0	49
4344	0	0	0	0	15	0	0	0	49
4345	0	0	0	0	15	0	0	0	49
4346	0	0	0	0	15	0	0	0	49
4347	0	0	0	0	15	0	0	0	49
4348	0	0	0	0	15	0	0	0	49
4349	0	0	0	16	15	0	0	0	49
4350	-	-	-	-	15	0	0	0	49
4351	-	-	-	-	15	0	0	0	49
