RAN_Event_Unix_Timestamp	Bridge_Read_Timestamp	Python_Recv_Timestamp	Cellular_Precise_Timestamp	Current_SFN_SF	Pipeline_Latency_ms	Bridge_Python_Latency_ms	LCG_0	LCG_1	LCG_2	LCG_3	Num_RBs	TBS_Index	MCS_Index	Redund_Ver	PUSCH_TB_Size
1757279218.292573	1757279201.549784	1757279200.248089	1757279200.248089	529	-16742.789	-1301.695	-	-	-	-	4	24	26	0	-
1757279218.459388	1757279201.717085	1757279200.415272	1757279201.532089	1813	-16742.303	-1301.813	-	-	-	-	-	-1	-	0	301
1757279219.593080	1757279202.850479	1757279201.548672	1757279201.528089	1809	-16742.601	-1301.807	-	-	-	-	4	24	26	0	-
1757279219.733348	1757279202.990939	1757279201.689324	1757279202.812089	3093	-16742.409	-1301.615	-	-	-	-	-	-1	-	0	301
1757279220.380467	1757279203.638074	1757279202.336376	1757279203.456089	3737	-16742.393	-1301.698	-	-	-	-	-	-1	-	0	149
1757279220.380467	1757279203.638074	1757279202.336376	1757279203.457089	3738	-16742.393	-1301.698	-	-	-	-	-	-1	-	0	149
1757279220.390458	1757279203.647992	1757279202.346064	1757279203.462089	3743	-16742.466	-1301.928	-	-	-	-	-	-1	-	0	0
1757279220.892972	1757279204.150357	1757279202.849147	1757279202.808089	3089	-16742.615	-1301.210	-	-	-	-	4	24	26	0	-
1757279220.892972	1757279204.150357	1757279202.849147	1757279203.452089	3733	-16742.615	-1301.210	-	-	-	-	2	24	26	0	-
1757279220.892972	1757279204.150357	1757279202.849147	1757279203.453089	3734	-16742.615	-1301.210	-	-	-	-	2	24	26	0	-
1757279220.892972	1757279204.150357	1757279202.849147	1757279203.458089	3739	-16742.615	-1301.210	-	-	-	-	2	0	29	0	-
1757279223.219406	1757279206.477220	1757279205.175277	1757279206.291089	6572	-16742.186	-1301.943	-	-	-	-	-	-1	-	0	7
1757279223.229525	1757279206.487803	1757279205.186062	1757279206.308089	6589	-16741.722	-1301.741	-	-	-	-	-	-1	-	0	22
1757279223.229525	1757279206.487803	1757279205.186062	1757279206.309089	6590	-16741.722	-1301.741	-	-	-	-	-	-1	-	0	22
1757279223.239414	1757279206.497033	1757279205.195167	1757279206.310089	6591	-16742.381	-1301.866	-	-	-	-	-	-1	-	0	22
1757279223.239414	1757279206.497033	1757279205.195167	1757279206.311089	6592	-16742.381	-1301.866	-	-	-	-	-	-1	-	0	22
1757279223.239414	1757279206.497033	1757279205.195167	1757279206.312089	6593	-16742.381	-1301.866	-	-	-	-	-	-1	-	0	22
1757279223.239414	1757279206.497033	1757279205.195167	1757279206.313089	6594	-16742.381	-1301.866	-	-	-	-	-	-1	-	0	18
1757279223.259409	1757279206.517458	1757279205.215647	1757279206.336089	6617	-16741.951	-1301.811	-	-	-	-	-	-1	-	0	0
1757279223.279449	1757279206.538431	1757279205.236592	1757279206.357089	6638	-16741.018	-1301.839	-	-	-	-	-	-1	-	0	65
1757279223.279449	1757279206.538431	1757279205.236592	1757279206.358089	6639	-16741.018	-1301.839	-	-	-	-	-	-1	-	0	65
1757279223.279449	1757279206.538431	1757279205.236592	1757279206.359089	6640	-16741.018	-1301.839	-	-	-	-	-	-1	-	0	65
1757279223.280513	1757279206.538586	1757279205.237510	1757279206.304089	6585	-16741.927	-1301.076	-	-	-	-	4	2	2	0	-
1757279223.280513	1757279206.538586	1757279205.237510	1757279206.305089	6586	-16741.927	-1301.076	-	-	-	-	4	2	2	0	-
1757279223.280513	1757279206.538586	1757279205.237510	1757279206.306089	6587	-16741.927	-1301.076	-	-	-	-	4	2	2	0	-
